UHF_id,no_health_insurance,bachelor,householdincome,householdnum,no_vehicles,employment,median_td_score,median_ag_score,median_los_score,weighted_age
104,6.928,10.331,130.892,36.046,16.553,40.029,67.42,61.95,67.42,38.611
105,8.819,6.728,47.508,34.131,24.302,37.033,68.72,65.26,68.72,34.851
205,12.173,11.227,109.823,30.056,18.671,45.001,67.08,64.29,67.08,37.416
207,7.579,15.448,89.794,36.921,21.064,46.366,67.86,64.24,67.86,39.885
208,5.653,13.639,91.09,34.941,11.807,42.086,68.3,65.71,68.3,41.428
211,8.383,16.56,78.645,35.733,23.853,47.937,67.02,63.36,67.02,34.298
301,8.364,16.105,117.748,35.842,27.702,48.003,61.29,67.91,61.29,39.592
303,7.184,12.889,57.937,41.301,34.446,38.279,68.69,65.59,68.69,39.843
304,3.171,24.958,247.702,46.892,34.055,47.784,67.22,66.56,67.22,43.559
306,2.953,33.509,356.383,57.668,48.001,59.695,65.37,60.84,65.37,42.931
309,4.241,26.146,131.854,46.705,37.627,48.003,68.67,81.27,68.67,41.496
310,2.756,33.729,2174.439,46.043,36.908,59.546,66.1,64.25,66.1,37.498
401,6.941,25.926,324.812,43.72,25.774,55.893,65.25,56.61,65.25,38.795
405,7.607,19.71,125.563,38.222,15.809,48.128,43.87,65.91,43.87,41.525
407,8.393,12.067,219.916,29.296,7.537,44.43,64.92,69.2,64.92,40.368
408,7.906,12.347,156.949,30.318,9.648,43.465,67,66.02,67,39.637
501,6.409,11.608,335.201,32.203,7.586,41.62,60.2,61.06,60.2,37.274
502,5.13,14.191,172.618,35.745,8.713,42.12,68.31,64.34,68.31,40.6
101,4.075,15.976,164.953,40.578,17.459,38.856,62.89,68.81,66.36,43.456
102,6.626,11.378,96.98,34.331,13.554,41.195,66.17,64.39,64.6,40.999
103,9.049,7.535,66.571,35.247,23.305,40.309,69.56,57.46,68.62,35.629
106,7.755,6.541,44.939,36.361,28.138,36.78,74.21,61.64,72.11,35.238
107,8.935,6.236,84.804,35.366,25.286,35.847,69.5,61.2,71.44,34.701
201,6.594,28.109,188.908,42.349,27.607,56.665,62.83,66.71,64.7,35.844
202,3.255,25.169,228.383,40.754,24.903,51.96,71.98,71.51,67.99,36.672
203,6.194,16.819,93.496,40.086,27.116,46.184,69.63,63.93,67.48,38.016
204,5.532,7.764,46.392,32.883,19.9,38.318,78.3,66.9,70.75,36.662
206,6.75,12.917,71.683,31.162,14.93,37.564,67.28,77.69,69.51,36.274
209,7.187,17.677,102.929,36.219,14.662,43.852,58.42,70.29,62.72,41.873
210,6.044,16.58,73.581,37.233,16.595,38.165,58.95,76.16,65.4,42.921
302,5.747,16.811,137.678,39.497,30.275,45.12,72.96,68.17,69.33,37.229
305,2.91,28.216,419.327,50.533,35.633,50.434,63.01,68.14,65.29,44.235
307,3.201,31.707,403.863,53.389,42.051,57.667,65.92,62.35,65.04,41.899
308,3.505,36.535,479.763,51.42,40.441,57.07,60.3,75.28,64.94,41.614
402,10.426,14.268,115.23,33.512,16.05,46.502,57.96,63.09,60.4,40.56
403,14.55,11.464,129.145,32.803,12.725,44.082,44.76,57.22,56.73,41.812
404,6.117,20.114,400.727,36.405,4.201,44.418,50.69,68.25,59.27,44.827
406,6.159,16.887,241.37,34.755,8.423,42.85,58.87,69.01,63.27,41.13
409,5.595,14.677,382.825,29.992,4.973,44.748,65.56,70.25,61.18,42.717
410,7.019,10.892,254.883,32.39,11.849,36.726,63.51,69.88,67.54,38.37
503,3.606,16.651,100.898,33.883,3.53,41.03,63.43,73.07,64.62,41.82
504,2.842,15.441,264.311,34.508,3.103,43.237,67.37,65.52,64.58,41.288
